    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
"HD  28527"    |67.64013589133    |16.194013804560004  |"A6IV"           |4.975|4.764
"* rho Tau"    |68.46215763444    |14.844428238220004  |"A8V"            |4.9  |4.65
"* c Tau"      |69.53942455778    |12.51083696018      |"A6V"            |4.39 |4.27
"* pi.02 Ori"  |72.65301036721706 |8.900181169455834   |"A1Vn"           |4.36 |4.35
"* eps Aur"    |75.49222653615    |43.82331030981      |"A9Ia"           |3.53 |2.99
"* iot Tau"    |75.77394385053    |21.589961196090005  |"A7V"            |4.797|4.615
"* pi.01 Ori"  |73.72386707883084 |10.150834290816942  |"A0Va_lB"        |4.723|4.648
"* ome Eri"    |73.22362244212168 |-5.452696320709445  |"A9IVn"          |4.64 |4.4
"* mu. Aur"    |78.35717509811    |38.48449878275001   |"A4m"            |5.017|4.821
"*  11 Ori"    |76.14228828818082 |15.404102144530556  |"A1VpSiCr"       |4.609|4.661
"* bet Eri"    |76.96239535462041 |-5.086496983969999  |"A3IV"           |2.92 |2.79
"HD  34968"    |80.11214492073    |-21.23976350005     |"A0V"            |4.684|4.729
"* d Ori"      |84.72117993594    |-7.212829772149999  |"A4Vn"           |4.93 |4.8
"* zet Lep"    |86.73892235277415 |-14.82195015846389  |"A2IV-V(n)"      |3.637|3.525
"* bet Aur"    |89.88217886833333 |44.94743257194444   |"A1IV-Vp"        |1.93 |1.9
"* tet Aur"    |89.93029217610834 |37.21258462923103   |"A0VpSi"         |2.54 |2.62
"* 136 Tau"    |88.33185937942498 |27.61226194180028   |"A0V+A0V"        |4.539|4.552
"* mu. Ori A"  |90.5958197        |9.647288305555556   |"A1Vm"           |4.43 |4.3
"* tet Lep"    |91.53884947064    |-14.93525538716     |"A0V"            |4.707|4.663
"*  17 Lep"    |91.24637271722    |-16.48443589962     |"A3+K/M"         |5.17 |4.93
"*  13 Mon"    |98.22594959232    |7.33296969762       |"A0Ib"           |4.5  |4.5
"* eps Mon A"  |95.94202257163    |4.59288236137       |"A8V(n)"         |4.583|4.398
"* eps Mon"    |95.9425           |4.595555555555555   |"A7IV+F4V"       |4.51 |4.31
