    main_id    |        ra         |        dec        |       sp_type        |  B  |  V
"* nu. Psc"    |25.357892261787082 |5.487611634559999  |"K3III"               |5.81 |4.44
"* eps Peg"    |326.04648391416663 |9.875008653333333  |"K2Ib-II"             |3.91 |2.39
"* zet And"    |11.834690495196249 |24.267178550475833 |"K1III+KV"            |5.18 |4.06
"*  56 Peg"    |346.7780911960067  |25.468270516988333 |"K0.5II:Ba1CN-2CH-0.5"|6.06 |4.74
"* phi Psc"    |18.4372752354      |24.58369761573     |"K0III"               |5.69 |4.66
"* alf Ari"    |31.79335709957655  |23.46241755020095  |"K2-IIIbCa-1"         |3.17 |2.01
"* del And"    |9.831679638429584  |30.86098357599195  |"K3III-IIIbCN0.5"     |4.56 |3.28
"* tau Psc"    |17.915071527890007 |30.089637934720002 |"K0.5IIIb"            |5.605|4.511
"*  39 Ari"    |41.9772586465075   |29.247118272015555 |"K0.5IIIb"            |5.63 |4.51
"*   1 Lac"    |333.9924037482759  |37.74873522918861  |"K3-II-III"           |5.61 |4.15
"*  72 Cyg"    |323.69411193909    |38.53406678887999  |"K0.5IIIFe0.5"        |5.99 |4.91
"HD 211073"    |333.46969795057    |39.7149246777      |"K2.5III"             |5.88 |4.49
"*  17 Per"    |42.87848894136     |35.05973970443     |"K5.5III"             |6.1  |4.53
"*  24 Per"    |44.76532017726     |35.183130898090006 |"K2III"               |6.17 |4.93
"* ome Hya"    |136.49320743567    |5.09232602999      |"K2II-III"            |6.219|4.981
"* kap Pyx"    |137.01199942675    |-25.85853788063    |"K4III"               |6.17 |4.56
"* alf Lyn"    |140.26375087702914 |34.39255928934889  |"K6III"               |4.69 |3.14
"*  27 Hya"    |140.1208955833592  |-9.555703357048891 |"K0III"               |5.75 |4.811
"* kap Leo"    |141.16357779905084 |26.182324291628607 |"K2IIIb"              |5.69 |4.46
"* lam Leo"    |142.93012390931915 |22.967981285818055 |"K4.5III"             |5.85 |4.31
"* alf Hya"    |141.89684459585948 |-8.658599531745583 |"K3IIIa"              |3.42 |1.97
"* G Hya"      |141.82671876496    |-22.343727089549997|"K2+IIIb"             |5.83 |4.69
"* eps Ant"    |142.31133167344    |-35.95133743857333 |"K3III"               |5.95 |4.51
"*   2 Sex"    |144.6137022018196  |4.649292767776666  |"K3III"               |6.0  |4.68
"* iot Hya"    |144.96400613436165 |-1.142810731513889 |"K2.5III"             |5.23 |3.91
"* mu. Leo"    |148.190904223595   |26.00695118609     |"K2IIIbCN1Ca1"        |5.1  |3.88
"HD  85951"    |148.71751874799    |-19.00933885796    |"K5III"               |6.51 |4.94
"HD  85859"    |148.55132004203    |-25.932330043420002|"K2+IIICN0.5"         |6.11 |4.88
"*  31 Leo"    |151.9761254861525  |9.997506874934166  |"K3.5IIIbFe-1:"       |5.82 |4.38
"* lam Hya"    |152.6470357548103  |-12.3541274788236  |"K0IIIbCN0.5"         |4.61 |3.61
"* gam01 Leo"  |154.9931435916667  |19.841488666666663 |"K1-IIIFe-1"          |3.13 |1.98
"* gam Leo"    |154.99312733272745 |19.84148521911754  |"K1-III+G7IIIb"       |3.79 |2.37
"* mu. Hya"    |156.52260893978251 |-16.836288604756664|"K4III"               |5.29 |3.81
"* alf Ant"    |156.7879193306     |-31.06777913925    |"K3III"               |5.7  |4.25
"* r Vel"      |155.58160352589    |-41.64996198158    |"K1III"               |5.95 |4.83
"* nu. Hya"    |162.4062010556029  |-16.193647060365556|"K1.5IIIHdel-0.5"     |4.35 |3.11
"*  46 LMi"    |163.32787152823542 |34.214892133082785 |"K0+III-IV"           |4.87 |3.83
"*  58 Leo"    |165.14019643034    |3.6174978845       |"K0.5IIIFe-0.5"       |6.007|4.838
"* alf Crt"    |164.94360481576166 |-18.298786220615558|"K0IIIb"              |5.16 |4.07
"* iot Ant"    |164.17938007896    |-37.137767409880006|"K0III"               |5.63 |4.6
"* nu. UMa"    |169.61973835928958 |33.09430607022111  |"K3-III:"             |4.89 |3.49
"* eps Crt"    |171.15246338381    |-10.85932652882    |"K4III"               |6.338|4.802
"HD  98993"    |170.80286530254    |-36.16477115874001 |"K4III"               |6.441|4.991
"* e Leo"      |172.57872230205    |-3.00349970129     |"K3+IIIFe-0.5"        |6.31 |4.77
"* eps Crv"    |182.53116909374998 |-22.6197672175     |"K2+IIIa"             |4.32 |2.98
"HD 106760"    |184.12555726712998 |33.06150800630001  |"K0.5III-IIIb"        |6.08 |4.94
"* c Vir"      |185.0874224675821  |3.312570893611389  |"K0.5IIIbFe-0.5"      |6.12 |4.96
"* gam Com"    |186.73446876829124 |28.268421801423333 |"K1IIIFe0.5"          |5.47 |4.34
"* chi Vir"    |189.8115290086     |-7.995564957179998 |"K2+IIICN0.5"         |5.886|4.643
"*  41 Com"    |196.79470800944625 |27.62473762183611  |"K5-III"              |6.22 |4.69
"* psi Hya"    |197.26360823084    |-23.11804386646    |"K0III"               |5.98 |4.934
"*  69 Vir"    |201.86318348636    |-15.97357933994    |"K0III-IIIbCN1.5CH0.5"|5.85 |4.75
"* e Boo"      |207.42843653774    |21.264101313699996 |"K4III"               |6.33 |4.91
"* ups Boo"    |207.36933869583623 |15.797904644250833 |"K5.5III"             |5.59 |4.07
"*  89 Vir"    |207.46784539626    |-18.13416925271    |"K0+IIIb"             |6.018|4.959
"* kap Vir"    |213.2239368859575  |-10.273703461482222|"K2.5IIIFe-0.5"       |5.53 |4.21
"* pi. Hya"    |211.59290834800288 |-26.68236157673806 |"K2-IIIFe-0.5"        |4.41 |3.28
"* tet Cen"    |211.670614682339   |-36.369954742511496|"K0-IIIb"             |3.04 |2.05
"* A Boo"      |214.49923885007    |35.50951230374999  |"K0III"               |5.852|4.796
"* alf Boo"    |213.915300294925   |19.1824091615312   |"K1.5IIIFe-0.5"       |1.18 |-0.05
"* k Hya"      |215.77405781325    |-27.754017252160004|"K4III"               |6.06 |4.75
"* rho Boo"    |217.9574555385208  |30.371436570076384 |"K3-III"              |4.89 |3.59
"* eps Boo"    |221.24673982578958 |27.074222319675556 |"K0-II-III"           |3.61 |2.45
"* c01 Cen"    |220.91432322798374 |-35.173668576684165|"K3IIIb"              |5.41 |4.04
"*  11 Lib"    |222.75446675218163 |-2.29915029439     |"K0III/IV"            |5.92 |4.94
"* E Hya"      |222.57211788284    |-27.960361231049998|"K2.5IIIbFe-1:"       |5.81 |4.41
"* phi01 Lup"  |230.45153998804454 |-36.26137329029805 |"K4III"               |5.076|3.546
"* zet02 Sco"  |253.645854299862   |-42.36131583630056 |"K3III"               |4.99 |3.62
"HD 163145"    |269.1975706169499  |-44.34221848895    |"K2III"               |6.041|4.849
"HD 189831"    |300.88944426035    |-37.94068496055001 |"K4III"               |6.176|4.764
"* bet CrA"    |287.5073196896108  |-39.3407926854625  |"K0II/IIICNIb"        |5.281|4.095
"* del CrA"    |287.08737371518    |-40.49669798013    |"K1III"               |5.664|4.571
"* f Lup"      |229.45765656610584 |-30.14866646634111 |"K0IIIaCH-1"          |5.43 |4.33
"* H Sco"      |249.09363126313713 |-35.25533141158    |"K5III"               |5.73 |4.156
"* G Sco"      |267.4645037403808  |-37.04327637830389 |"K2III"               |4.38 |3.21
"* eps Sco"    |252.54087838625    |-34.29323159305555 |"K1III"               |3.45 |2.29
"HD 190056"    |301.08163754481996 |-32.05629631122    |"K1III/IV"            |6.2  |4.99
"* ups Lib"    |234.25603706873625 |-28.135110461468887|"K3.5III"             |4.979|3.589
"*  42 Lib"    |235.0704055109     |-23.81808364893    |"K3-IIICN2"           |6.29 |4.96
"HD 143787"    |240.83592977032    |-25.865242571789995|"K3III"               |6.202|4.966
"* gam02 Sgr"  |271.45203374499994 |-30.424089849444446|"K0+III"              |4.0  |2.99
"* del Sgr"    |275.24851205687213 |-29.828102262591386|"K2.5IIIaCN0.5"       |4.069|2.668
"* tau Sgr"    |286.73501297132    |-27.67041563722    |"K1.5IIIb"            |4.51 |3.31
"* b Sgr"      |299.23680287255206 |-27.169897010698058|"K2.5IIb"             |5.98 |4.528
"HD 167818"    |274.51329851055624 |-27.042643520009165|"K3II"                |6.265|4.627
"* lam Sgr"    |276.99266966041665 |-25.421698496944444|"K1IIIb"              |3.85 |2.81
"* psi Sgr"    |288.8851404878345  |-25.25668668234528 |"K0/1III+A/F"         |5.41 |4.86
"*   1 Sgr"    |272.93055316182    |-23.701231598440007|"K0III"               |6.03 |4.98
