   main_id   |        ra        |        dec         |       sp_type        |  B  |  V
"* D01 Car"  |120.08319077859417|-63.567454832875555 |"B4V"                 |4.639|4.806
"* phi Eri"  |34.12744204857083 |-51.512165163000276 |"B8IV"                |3.45 |3.57
"* Q Vel"    |152.23433169975752|-51.81126175603361  |"B3III/IV"            |4.711|4.845
"* phi Vel"  |149.21558687068125|-54.567788190034165 |"B5Ib"                |3.35 |3.45
"* a Car"    |137.74202206644335|-58.966900555078894 |"B2IV-V"              |3.25 |3.4
"* c Car"    |133.76186707720834|-60.644609514066666 |"B8II-III"            |3.74 |3.8
"* h Car"    |143.61104506125   |-59.229751953055555 |"B5II"                |4.09 |4.09
"* m Car"    |144.8375470052871 |-61.32804977268306  |"B9IV/V"              |4.432|4.498
"* i Car"    |137.81967506322877|-62.31697773412389  |"B3V"                 |3.774|3.943
"* eps Vol"  |121.98247699144   |-68.61706463606     |"B5III"               |4.27 |4.398
"* J Vel"    |155.22831547076   |-56.04323770783     |"B5II"                |4.38 |4.51
"* eps Hyi"  |39.897340197639586|-68.26694668466418  |"B9Va"                |4.047|4.096
"* p Car"    |158.0061045480125 |-61.68533195288     |"B4Vne"               |3.18 |3.27
"* E Car"    |136.4098972987    |-70.53849835625     |"B3III"               |4.5  |4.652
"HD  93194"  |161.02875518967625|-63.96107482499694  |"B3/5Vn"              |4.649|4.789
"HD  92938"  |160.5588303015621 |-64.46642611042111  |"B3V"                 |4.68 |4.82
"HD  93607"  |161.71341242856496|-64.38347348587473  |"B4V"                 |4.69 |4.83
"* tet Car"  |160.73917486416664|-64.39445022111111  |"B0Vp"                |2.54 |2.76
"* L Car"    |155.74227742060336|-66.90149599916556  |"B8V"                 |4.86 |4.99
"* ome Car"  |153.43425247860876|-70.0379064474      |"B7III"               |3.25 |3.33
"* A Cen"    |173.69023485487747|-54.26409310423222  |"B9V"                 |4.533|4.607
"* lam Cen"  |173.94532537821   |-63.01983499360999  |"B9III"               |3.1  |3.14
"* del02 Cha"|161.44585968076748|-80.54018818094444  |"B3V"                 |4.258|4.433
"* bet01 Tuc"|7.886116900947914 |-62.95821745653945  |"B9.5Va"              |4.249|4.289
"* j Cen"    |177.42111389338   |-63.788472407499995 |"B3V"                 |4.16 |4.308
"HD 105382"  |182.02175944332998|-50.66127095876     |"B5V"                 |4.32 |4.47
"* del Cen"  |182.08957348875   |-50.722427392777774 |"B2Vne"               |2.39 |2.52
"* rho Cen"  |182.91299894987998|-52.36844011674     |"B3V"                 |3.81 |3.96
"* del Cru"  |183.78632699611498|-58.748924076838335 |"B2IV"                |2.568|2.752
"* tet02 Cru"|181.08008365342997|-63.165699073649996 |"B3V"                 |4.613|4.716
"* zet Cru"  |184.60934197714997|-64.0030853698      |"B2/3V"               |3.9  |4.05
"* gam Mus"  |188.1167205253554 |-72.13298978942889  |"B5V+A:"              |3.73 |3.88
"* bet Cha"  |184.58676960730585|-79.31223407416667  |"B4V"                 |4.104|4.229
"* eps Tuc"  |359.9790714155233 |-65.57713261825444  |"B8V"                 |4.38 |4.47
"* G Cen"    |186.63233351866413|-51.45063581013528  |"B3V(n)"              |4.654|4.808
"HD 108250"  |186.62867882836   |-63.12223531887     |"B3/5V"               |4.679|4.822
"* bet Mus A"|191.56999562079372|-68.10809998944583  |"B2V"                 |3.38 |3.55
"* alf Mus"  |189.29590786916668|-69.1355647886111   |"B2IV"                |2.484|2.649
"* sig Cen"  |187.00992548273499|-50.23063797449278  |"B2V"                 |3.72 |3.91
"HD 110956"  |191.59464352716373|-56.488815491873886 |"B2/3V"               |4.462|4.62
"* bet Cru"  |191.9302865619529 |-59.68877199622606  |"B1IV"                |1.02 |1.25
"*  39 Cru"  |190.48570492647   |-59.68582067903     |"B5III"               |4.91 |4.94
"* lam Cru"  |193.66326137584585|-59.146702561968894 |"B3Vne"               |4.451|4.602
"* eta Mus"  |198.81223044841164|-67.89459139138917  |"B7III+B7III"         |4.687|4.78
"* mu.01 Cru"|193.6484344215275 |-57.17792469914083  |"B2IV-V"              |3.87 |4.04
"HD 114529"  |198.0732207329279 |-59.920563006995835 |"B7V"                 |4.5  |4.593
"* J Cen"    |200.65805458993415|-60.988380600585835 |"B3V"                 |4.369|4.509
"* ksi02 Cen"|196.72766418042875|-49.90624642011722  |"B3V"                 |4.08 |4.27
"* f Cen"    |196.5695986005133 |-48.46329070242833  |"B4V"                 |4.552|4.691
"* bet Cen"  |210.95585562281522|-60.373035161541594 |"B1III"               |     |0.58
"* eps Cen"  |204.97190723090242|-53.466391146088995 |"B1III"               |2.08 |2.3
"* v Cen"    |215.08142780986415|-56.38649549140083  |"B5II"                |4.47 |4.35
"* zet Cen"  |208.88494019857197|-47.28837451101241  |"B2.5IV"              |2.33 |2.55
"* gam Cir A"|230.84440329999998|-59.3207022         |"B3/4V"               |4.85 |4.96
"* alf Gru"  |332.05826969609114|-46.96097438191952  |"B6V"                 |1.58 |1.71
"* nu. Cen"  |207.37615211559708|-41.68770852979139  |"B2V"                 |3.188|3.386
"* mu. Cen"  |207.40411953020498|-42.47373340873611  |"B2Vnpe"              |3.27 |3.43
"* ups01 Cen"|209.66978618791669|-44.80358582416666  |"B2IV-V"              |3.67 |3.87
"* sig Lup"  |218.15439609514667|-50.45714824086861  |"B1/B2V"              |4.24 |4.423
"* nu. Pav"  |277.8434397015254 |-62.278302707725004 |"B7III"               |4.53 |4.64
"* lam Pav"  |283.0543076300271 |-62.18759092175556  |"B2Ve"                |4.048|4.207
"* alf Pav"  |306.4119043651986 |-56.73508972631689  |"B2IV"                |1.791|1.918
"* chi Cen"  |211.51153348661126|-41.17963290966722  |"B2V"                 |4.155|4.343
"* phi Cen"  |209.56777573906837|-42.10075691842361  |"B2IV"                |3.608|3.802
"* iot Lup"  |214.85092150390665|-46.05809425901695  |"B2.5IV"              |3.355|3.529
"* tau01 Lup"|216.53426845332456|-45.221423300891665 |"B2IV"                |4.393|4.553
"* alf Lup"  |220.4823157775    |-47.38819874611111  |"B1.5III"             |2.126|2.286
"* rho Lup"  |219.471775669755  |-49.4258282866625   |"B3/4V"               |3.9  |4.05
"* del Ara"  |262.77463997460376|-60.68384495524666  |"B8Vn"                |3.52 |3.62
"* kap Lup"  |227.98363863276998|-48.737824987530004 |"B9.5Vne"             |3.67 |3.7
"* gam Ara"  |261.3485804629167 |-56.37772632638889  |"B1Ib"                |3.21 |3.34
"* a Cen"    |215.75932801672622|-39.51181793325     |"B2V"                 |4.24 |4.42
"* eta Cen"  |218.8767673375    |-42.15782521722222  |"B2Ve"                |2.12 |2.31
"* omi Lup"  |222.90959537708335|-43.575360151666665 |"B5IV"                |4.164|4.313
